strain,phase,window_mid,norm_position,density_drug,density_nd,log2FC,t_test_p,t_test_p_adj_BH,mwu_p,category
VU,stat,176501,-0.651906,398.5,351,0.18310869368591112,0.7731712873675057,0.942639234963586,1,Not significant
VU,stat,177501,-0.651428,387,335,0.2081724707992756,0.741785355016234,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,178501,-0.650949,379,283,0.42139579533920934,0.5446319325813256,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,179501,-0.650471,371.5,341.5,0.12147663224850562,0.8011729072527128,0.9473916682114255,1,Not significant
VU,stat,180501,-0.649993,363.5,257.5,0.4973829318490136,0.46673673078324274,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,181501,-0.649515,324.5,258.5,0.3280541976842038,0.6104733590015486,0.9412563256715453,1,Not significant
VU,stat,182501,-0.649036,440.5,363.5,0.2771866550008193,0.6788974073131232,0.9412563256715453,1,Not significant
VU,stat,183501,-0.648558,394,321,0.29562233233407303,0.6564076767270068,0.9412563256715453,1,Not significant
VU,stat,184501,-0.64808,358.5,312.5,0.19811692915245535,0.7363067687437721,0.9412563256715453,1,Not significant
VU,stat,185501,-0.647601,399.5,278.5,0.520518175587945,0.48604744985497583,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,186501,-0.647123,464.5,351.5,0.4021539073101175,0.49538205896881493,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,187501,-0.646645,433.5,312.5,0.4721758036723856,0.4491211512901684,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,188501,-0.646167,408.5,301,0.4405725913859814,0.41818574567670086,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,189501,-0.645688,416,314.5,0.40352351126180286,0.4967130048422942,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,190501,-0.64521,393.5,286.5,0.4578284967505815,0.5407118717951445,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,191501,-0.644732,351.5,339.5,0.050113114827803625,0.9473903659251265,0.982228598298442,1,Not significant
VU,stat,192501,-0.644253,340,349.5,-0.03975770923773471,0.9590333817291545,0.9856819048031696,1,Not significant
VU,stat,193501,-0.643775,332.5,413.5,-0.3145329887827227,0.7161997429483162,0.9412563256715453,1,Not significant
VU,stat,194501,-0.643297,397.5,406.5,-0.03230049190331008,0.9658659677215009,0.9873186966445978,1,Not significant
VU,stat,195501,-0.642819,439,419.5,0.06555012909553505,0.9128310752924549,0.9756490966819616,1,Not significant
VU,stat,196501,-0.64234,300.5,299,0.007219506513080557,0.9916375766864782,0.999350858119739,1,Not significant
VU,stat,197501,-0.641862,297.5,286.5,0.0543545294384011,0.9285375734531722,0.9773565836242116,1,Not significant
VU,stat,198501,-0.641384,241.5,281.5,-0.2211117332444565,0.7807413014798917,0.943394241597177,1,Not significant
VU,stat,199501,-0.640905,219.5,282,-0.3614742228634353,0.5925612663291031,0.9412563256715453,1,Not significant
VU,stat,200501,-0.640427,234.5,274,-0.2245879704451501,0.7556479731402045,0.9412563256715453,1,Not significant
VU,stat,201501,-0.639949,291.5,303,-0.05582191027245442,0.9354433534953985,0.9792202137093488,1,Not significant
VU,stat,202501,-0.639471,356,367,-0.04390282187681501,0.9273840743034418,0.9773565836242116,1,Not significant
VU,stat,203501,-0.638992,296.5,314.5,-0.08502791233328555,0.8925238536950927,0.9697871126716827,1,Not significant
VU,stat,204501,-0.638514,292.5,335.5,-0.19787614172941662,0.7902605307254967,0.9436755499713635,1,Not significant
VU,stat,205501,-0.638036,269.5,316,-0.22963928542459747,0.7797882067267755,0.943394241597177,1,Not significant
VU,stat,206501,-0.637557,275.5,339.5,-0.3013592556735742,0.7279453626989013,0.9412563256715453,1,Not significant
VU,stat,207501,-0.637079,258.5,316,-0.28976027786216824,0.6808944149762968,0.9412563256715453,1,Not significant
VU,stat,208501,-0.636601,324.5,354,-0.12553088208385899,0.8713842370332153,0.9643405760149748,1,Not significant
VU,stat,209501,-0.636123,295.5,329.5,-0.1571203348305193,0.8365541480323678,0.9540957871489469,1,Not significant
